id,source_id,source_name,title,body,category,sentiment,published,day,hour,week_day
14,ukrinform,Ukrinform,ОПЕК+ після виходу Об'єднаних Арабських Еміратів збільшить квоти на видобуток нафти,"ОПЕК+ у неділю, після виходу з її складу ОАЕ, погодилася на незначне збільшення видобутку нафти на червень, що стало третім підвищення квот з моменту закриття Ормузької протоки і залишиться переважно на папері, поки війна з Іраном продовжуватиме порушувати постачання нафти з Перської затоки.",Technology,neutral,2026-05-03T12:48:00+00:00,2026-05-03,12,Sunday
13,ukrinform,Ukrinform,Зеленський прибув до Єревана,Володимир Зеленський прибув до столиці Вірменії для участі у саміті Європейської політичної спільноти.,Technology,neutral,2026-05-03T13:00:00+00:00,2026-05-03,13,Sunday
12,ukrinform,Ukrinform,"Ворог вдарив по житловому кварталу у Дніпрі - пошкоджений гуртожиток, є поранені",Унаслідок російської атаки вдень 3 травня у Дніпрі пошкоджена будівля гуртожитку.,War/Security,neutral,2026-05-03T13:12:00+00:00,2026-05-03,13,Sunday
11,ukrinform,Ukrinform,Українець Єршов став призером етапу серії Grand Slam із дзюдо у Таджикистані,У Душанбе (Таджикистан) пройшов черговий турнір із дзюдо сезону-2026 серії Grand Slam.,Culture,positive,2026-05-03T13:19:07+00:00,2026-05-03,13,Sunday
0,dw,Deutsche Welle,Nigeria summons South Africa envoy over xenophobic incidents,Nigeria joins other international voices warning against rising anti-migrant sentiment targeting Africans in South Africa.,War/Security,negative,2026-05-03T13:32:00+00:00,2026-05-03,13,Sunday
10,ukrinform,Ukrinform,Сили безпілотних систем у квітні уразили 38 ворожих засобів ППО,Сили безпілотних систем Збройних сил України впродовж квітня уразили 38 засобів протиповітряної оборони російських загарбників.,War/Security,neutral,2026-05-03T13:33:00+00:00,2026-05-03,13,Sunday
9,ukrinform,Ukrinform,"Буданов подякував медіа, які працюють чесно й дотримуються професійних стандартів","Керівник Офісу Президента України Кирило Буданов у Всесвітній день свободи преси подякував ЗМІ, які працюють чесно, відповідально й дотримуються професійних стандартів.",Politics,neutral,2026-05-03T13:39:00+00:00,2026-05-03,13,Sunday
1,bbc,BBC News,Russian strikes kill 10 as Zelensky says Ukraine hits oil tankers and terminal,"Fatalities have been reported around Ukraine as Kyiv says Russian ""shadow fleet"" tankers were hit by drones.",War/Security,negative,2026-05-03T13:43:20+00:00,2026-05-03,13,Sunday
8,ukrinform,Ukrinform,"Війська РФ від початку доби здійснили 45 атак, два напрямки найгарячіші",Російська армія від початку доби 45 разів атакувала позиції Сил оборони України. Основні зусилля ворог зосереджує на Покровському та Костянтинівському напрямках.,War/Security,neutral,2026-05-03T13:50:00+00:00,2026-05-03,13,Sunday
3,bbc,BBC News,"Two US service members reported missing in Morocco, officials say","A search and rescue operation is underway for the service members, the US African Command said.",Culture,positive,2026-05-03T14:13:58+00:00,2026-05-03,14,Sunday
7,ukrinform,Ukrinform,У Чехії відкрили виставку української художниці Оксани Заєць,"У місті Хеб у західній Чехії в неділю відкрилася виставка української художниці та поетеси з Рівненщини Оксани Заєць ""Ніжне світло"".",Culture,neutral,2026-05-03T14:15:39+00:00,2026-05-03,14,Sunday
6,ukrinform,Ukrinform,"Синоптик розповіла, якою буде погода в Україні наступного тижня","В Україні з понеділка спостерігатиметься суха і тепла погода, місяцями до +27 градусів, у другій половині тижня ймовірні дощі з грозами у західних регіонах.",Technology,neutral,2026-05-03T14:17:00+00:00,2026-05-03,14,Sunday
5,ukrinform,Ukrinform,Продажі нових легковиків у квітні зросли на 3% - Укравтопром,"В Україні у квітні 2026 року зареєстровано близько 6,2 тис. нових легковиків, на 3% більше, ніж у квітні минулого року.",Culture,neutral,2026-05-03T14:25:00+00:00,2026-05-03,14,Sunday
4,ukrinform,Ukrinform,"Удар по Дніпру: одна людина загинула, кількість поранених зросла до 11",Армія РФ у неділю атакувала Дніпро. Відомо про одну загиблу людину та 11 травмованих.,War/Security,neutral,2026-05-03T14:36:28+00:00,2026-05-03,14,Sunday
3,ukrinform,Ukrinform,"Російська армія атакувала Запоріжжя, є поранені",Ворожа армія атакувала Запоріжжя. В місті чути вибухи. Відомо про влучання по гаражах. Є поранені.,War/Security,neutral,2026-05-03T14:43:00+00:00,2026-05-03,14,Sunday
7,bbc,BBC News,Concern for jailed Iranian Nobel laureate as brother fears she is dying,Her family said the 54-year-old had been taken from prison to a local hospital after a sharp deterioration in her health.,Culture,negative,2026-05-03T14:44:04+00:00,2026-05-03,14,Sunday
2,ukrinform,Ukrinform,"Театр Франка представить прем’єру вистави «Там, де заходить сонце»","У Києві у Національному академічному драматичному театрі імені Івана Франка 13–14 травня відбудеться прем’єра вистави «Там, де заходить сонце» у постановці режисера Тараса Жирка за однойменним романом української письменниці Олени Пшеничної.",Culture,neutral,2026-05-03T14:45:00+00:00,2026-05-03,14,Sunday
1,ukrinform,Ukrinform,"В Австрії під багаттям вибухнув «військовий артефакт», постраждали діти","На півночі Австрії вибухнув «військовий артефакт», що знаходився під багаттям, довкола якого в суботу ввечері зібралися юні туристи в таборі. П’ятеро дітей були госпіталізовані.",Economy,neutral,2026-05-03T15:00:00+00:00,2026-05-03,15,Sunday
0,ukrinform,Ukrinform,УПЛ. «Металіст 1925» поступився «Поліссю» у Житомирі,У чемпіонаті України з футболу серед команд Премʼєр-ліги (УПЛ) завершився черговий поєдинкок 26-го туру національної першості.,Sports,neutral,2026-05-03T15:05:46+00:00,2026-05-03,15,Sunday
